encounter_timestamp,park_area_id,park_district,park_borough,patroncount,in_playground,action_taken,amenity
05/02/2020 11:41:20 AM,X031,X-03,Bronx,16,false,Approached the crowd; they ignored the employee,Bench/sitting area
05/02/2020 11:08:03 AM,X147A-ZN01,X-14,Bronx,50,false,Approached the crowd; they ignored the employee,Baseball field
05/02/2020 11:06:53 AM,X002-ZN03,X-14,Bronx,50,false,Approached the crowd; they ignored the employee,Soccer field
05/02/2020 10:40:38 AM,Q020-01,Q-05A,Queens,4,false,Did not approach the crowd; the crowd remains,Adult fitness equipment
05/02/2020 09:03:21 AM,M144-ZN02,M-03,Manhattan,10,false,Approached the crowd; they ignored the employee,Baseball field
05/02/2020 09:02:02 AM,M144-ZN05,M-03,Manhattan,7,false,Approached the crowd; they ignored the employee,Baseball field
05/01/2020 05:56:26 PM,M011,M-04,Manhattan,8,false,Did not approach the crowd; the crowd remains,Adult fitness equipment
05/01/2020 05:36:00 PM,Q007,Q-14,Queens,3,false,Approached the crowd; they ignored the employee,Bench/sitting area
05/01/2020 05:35:13 PM,Q007,Q-14,Queens,7,false,Approached the crowd; they complied with instructions,Skate Park
05/01/2020 12:16:57 PM,M105-01,M-03,Manhattan,20,false,Approached the crowd; they ignored the employee,Bench/sitting area
05/01/2020 12:15:20 PM,M105,M-03,Manhattan,12,false,Approached the crowd; they ignored the employee,Bench/sitting area
05/01/2020 11:50:37 AM,M015,M-01,Manhattan,20,false,Approached the crowd; they ignored the employee,Chess area
04/30/2020 04:57:48 PM,M077-04,M-09,Manhattan,1,false,Approached the crowd; they complied with instructions,Playground
04/30/2020 04:02:39 PM,M391-ZN02,M-01,Manhattan,40,false,Approached the crowd; they complied with instructions,Walking path
04/30/2020 04:01:53 PM,M391-ZN01,M-01,Manhattan,25,false,Approached the crowd; they complied with instructions,Walking path
04/29/2020 05:16:40 PM,M077-04,M-09,Manhattan,2,false,Approached the crowd; they complied with instructions,Playground
04/29/2020 04:14:31 PM,B066,B-10,Brooklyn,5,false,Did not approach the crowd; the crowd remains,Skate Park
04/29/2020 04:13:45 PM,B028-ZN02,B-10,Brooklyn,20,false,Did not approach the crowd; the crowd remains,Track/field area
04/29/2020 03:57:45 PM,M104-ZN03,M-11R,Manhattan,15,false,Approached the crowd; they complied with instructions,Soccer field
04/29/2020 03:55:32 PM,M107-ZN07,M-11R,Manhattan,35,false,Approached the crowd; they complied with instructions,Soccer field
04/29/2020 02:11:29 PM,Q051,Q-12,Queens,10,false,Approached the crowd; they ignored the employee,Adult fitness equipment
04/29/2020 02:07:59 PM,Q051,Q-12,Queens,11,false,Approached the crowd; they ignored the employee,Adult fitness equipment
04/29/2020 01:59:22 PM,B052,B-10,Brooklyn,6,false,Did not approach the crowd; the crowd remains,Tennis courts
04/29/2020 01:36:40 PM,B028,B-10,Brooklyn,20,false,Approached the crowd; they ignored the employee,Soccer field
04/29/2020 11:12:02 AM,M037-09,M-12A,Manhattan,6,false,Did not approach the crowd; the crowd remains,Baseball field
04/28/2020 05:47:29 PM,M011,M-04,Manhattan,60,false,Did not approach the crowd; the crowd remains,Baseball field
04/28/2020 04:06:04 PM,M399,M-04,Manhattan,7,false,Approached the crowd; they complied with instructions,Bench/sitting area
04/28/2020 03:54:13 PM,R029,R-01,Staten Island,20,true,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
04/28/2020 03:47:54 PM,M011,M-04,Manhattan,10,false,Did not approach the crowd; the crowd remains,Basketball court
04/28/2020 03:45:46 PM,M011,M-04,Manhattan,6,false,Did not approach the crowd; the crowd remains,Adult fitness equipment
04/28/2020 03:43:29 PM,M011,M-04,Manhattan,3,false,Approached the crowd; they ignored the employee,Adult fitness equipment
04/28/2020 03:22:51 PM,Q099-ZN09,Q-15,Queens,40,false,Approached the crowd; they ignored the employee,Soccer field
04/28/2020 03:16:28 PM,Q099-ZN15,Q-15,Queens,70,true,Approached the crowd; they ignored the employee,Soccer field
04/28/2020 02:29:25 PM,B057,B-18,Brooklyn,200,false,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
04/28/2020 02:26:04 PM,B251,B-15,Brooklyn,50,false,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
04/28/2020 02:15:41 PM,Q004-ZN01,Q-01,Queens,200,false,Approached the crowd; they ignored the employee,Soccer field
04/28/2020 02:05:04 PM,M399,M-04,Manhattan,9,false,Approached the crowd; they complied with instructions,Bench/sitting area
04/28/2020 02:01:51 PM,Q004-ZN01,Q-01,Queens,6,false,Approached the crowd; they ignored the employee,Skate Park
